time,precipitation,temperature,irradiance_surface,irradiance_toa,cloud_cover,air_density,electricity,wind_speed
01/01/2019 00:00,2.00E-04,17.794,0,0,0.3479,1.0671,0.185,6.536
01/01/2019 01:00,2.00E-04,17.458,0,0,0.2683,1.0682,0.184,6.527
01/01/2019 02:00,2.00E-04,17.089,0,0,0.226,1.0692,0.177,6.449
01/01/2019 03:00,2.00E-04,16.804,0.9212,3.2584,0.223,1.0703,0.181,6.49
01/01/2019 04:00,2.00E-04,18.124,100.6145,195.8835,0.2404,1.0706,0.183,6.511
01/01/2019 05:00,1.00E-04,21.141,323.3692,493.6076,0.2046,1.0652,0.221,6.905
01/01/2019 06:00,0,24.983,548.3961,747.6875,0.2136,1.055,0.201,6.697
01/01/2019 07:00,0,27.887,720.8856,940.7101,0.2548,1.0467,0.092,5.41
01/01/2019 08:00,0,29.819,830.508,1059.6822,0.2647,1.0404,0.033,4.289
01/01/2019 09:00,0,31.092,863.3198,1096.2745,0.2949,1.0354,0.009,3.441
01/01/2019 10:00,0,31.796,820.1093,1048.1823,0.3305,1.0316,0.002,2.718
01/01/2019 11:00,0,31.935,705.9781,918.5149,0.256,1.0295,0.001,2.344
01/01/2019 12:00,0,31.467,531.1444,716.2948,0.1664,1.0292,0.001,2.543
01/01/2019 13:00,0,30.262,310.675,455.1491,0.2106,1.0309,0.003,2.964
01/01/2019 14:00,0,27.516,83.7024,153.4786,0.2725,1.0353,0.03,4.231
01/01/2019 15:00,0,24.067,0.0586,0.2318,0.3375,1.0423,0.088,5.35
01/01/2019 16:00,0,22.68,0,0,0.4382,1.049,0.093,5.417
01/01/2019 17:00,0,21.687,0,0,0.4195,1.0538,0.059,4.858
01/01/2019 18:00,0,20.813,0,0,0.3561,1.057,0.044,4.559
01/01/2019 19:00,0,19.991,0,0,0.3706,1.0593,0.054,4.762
01/01/2019 20:00,0,19.276,0,0,0.4462,1.0612,0.086,5.308
01/01/2019 21:00,0,18.687,0,0,0.4624,1.0628,0.104,5.569
01/01/2019 22:00,0,18.163,0,0,0.4006,1.064,0.105,5.593
01/01/2019 23:00,0,17.694,0,0,0.4271,1.0649,0.109,5.639
02/01/2019 00:00,0,17.374,0,0,0.3586,1.0659,0.111,5.667
02/01/2019 01:00,0,17.051,0,0,0.2822,1.0671,0.133,5.944
02/01/2019 02:00,0,16.726,0,0,0.2396,1.0684,0.162,6.29
02/01/2019 03:00,0,16.344,1.0522,3.3242,0.1757,1.0697,0.168,6.353
02/01/2019 04:00,0,17.885,108.2661,196.5751,0.1315,1.0702,0.16,6.27
02/01/2019 05:00,0,21.222,339.8747,494.4858,0.1324,1.0651,0.14,6.027
02/01/2019 06:00,0,25.37,560.9098,748.7036,0.1992,1.0538,0.177,6.442
02/01/2019 07:00,0,28.383,728.3437,941.889,0.329,1.0453,0.145,6.087
02/01/2019 08:00,0,30.293,832.4738,1060.7913,0.5862,1.0391,0.089,5.358
02/01/2019 09:00,0,31.573,867.0395,1097.5096,0.7109,1.0341,0.05,4.695
